IN-3,R+33.43,0.88,,,
IN-4,R+31.89,0.99,,,
IN-5,R+14.53,0.88,,,
IN-6,R+35.75,1.05,,,
IN-7,D+23.3,0.96,,,
IN-8,R+29.87,1.01,,,
IN-9,R+24.54,0.94,,,
KS-1,R+44.54,0.88,,,
KS-2,R+16.9,0.96,,,
KS-3,R+2.58,1.05,,,
KS-4,R+26.91,1.12,,,
KY-1,R+39.94,0.92,,,
KY-2,R+32.17,0.91,,,
KY-3,D+18.14,0.89,,,
KY-4,R+29.63,0.88,,,
KY-5,R+54.86,1.07,,,
KY-6,R+10.89,0.92,,,
LA-1,R+42.91,0.94,,,
LA-2,D+52.44,0.98,,,
LA-3,R+36.95,0.9,,,
LA-4,R+22.78,1.02,,,
LA-5,R+27.69,0.91,,,
LA-6,R+34.19,1.08,,,
MA-1,D+20.85,1.22,,,
MA-2,D+16.57,1.21,,,
MA-3,D+17.51,1.18,,,
MA-4,D+18.58,1.18,,,
MA-5,D+36.97,0.98,,,
MA-6,D+12.66,1.21,,,
MA-7,D+67.85,1.01,,,
MA-8,D+20.15,1.13,,,
MA-9,D+8.39,1.2,,,
MD-1,R+29.89,1.11,,,
MD-2,D+22.37,1.04,,,
MD-3,D+24.94,1.02,,,
MD-4,D+54.17,0.89,,,
MD-5,D+29.31,0.88,,,
MD-6,D+10.94,0.97,,,
MD-7,D+51.77,0.9,,,
MD-8,D+28.34,0.87,,,
ME-1,D+12.99,1.15,,,
ME-2,R+8.03,1.1,,,
MI-1,R+14.29,1.11,,,
MI-10,R+22.77,1.11,,,
MI-11,R+1.97,0.99,,,
MI-12,D+31.14,1.02,,,
MI-13,D+65.39,0.94,,,
MI-14,D+62.81,0.93,,,
MI-2,R+13.34,1.04,,,
MI-3,R+5.95,1.03,,,
MI-4,R+16.55,1.12,,,
MI-5,D+13,1.24,,,
MI-6,R+3.31,1.06,,,
MI-7,R+9.64,1.12,,,
MI-8,R+2.74,1.12,,,
MI-9,D+13.03,1.07,,,
MN-1,R+11.58,1.03,,,
MN-2,R+2.89,1.02,,,
MN-3,D+4.41,0.98,,,
MN-4,D+27.51,1.09,,,
MN-5,D+51.31,0.91,,,
MN-6,R+24.23,0.94,,,
MN-7,R+25.89,1.19,,,
MN-8,R+10.68,1.1,,,
MO-1,D+54.27,0.98,,,
MO-2,R+17.46,0.95,,,
MO-3,R+39.78,0.94,,,
MO-4,R+37.44,0.77,,,
MO-5,D+10.11,1.06,,,
MO-6,R+33.52,1,,,
MO-7,R+47.92,0.85,,,
MO-8,R+52.5,1.03,,,
MS-1,R+29.32,0.93,,,
MS-2,D+31.11,0.95,,,
MS-3,R+22.28,0.8,,,
MS-4,R+38.7,0.99,,,
MT-1,R+18.36,1.06,,,
NC-1,D+11.44,0.96,,,
NC-10,R+36.71,0.95,,,
NC-11,R+16.31,1.01,,,
NC-12,D+35.63,0.92,,,
NC-13,R+35.27,0.98,,,
NC-2,D+20.48,1.01,,,
NC-3,R+23.25,0.99,,,
NC-4,D+30.42,0.94,,,
NC-5,R+34.65,1.08,,,
NC-6,D+19.34,1.09,,,
NC-7,R+19.29,0.88,,,
NC-8,R+8.45,0.97,,,
NC-9,R+11.45,0.9,,,
ND-1,R+33.96,0.98,,,
NE-1,R+20.65,1.01,,,
NE-2,R+4.75,1.05,,,
NE-3,R+51.41,0.95,,,
NH-1,R+3.31,1.19,,,
NH-2,D+2.06,1.1,,,
NJ-1,D+22.25,1.04,,,
NJ-10,D+69.68,0.93,,,
NJ-11,R+7.09,1.07,,,
NJ-12,D+29.02,0.92,,,
NJ-2,R+4.93,1.05,,,
NJ-3,R+7.16,0.96,,,
NJ-4,R+17.57,1.01,,,
NJ-5,R+6.29,1.09,,,
NJ-6,D+13.86,0.99,,,
NJ-7,R+5.89,1.03,,,
NJ-8,D+51,0.94,,,
NJ-9,D+28.85,1.04,,,
NM-1,D+15.32,1.01,,,
NM-2,R+9.97,1.14,,,
NM-3,D+15.42,0.93,,,
NV-1,D+25.86,1.12,,,
NV-2,R+15.42,0.96,,,
NV-3,R+4.91,0.97,,,
NV-4,D+2.32,1.22,,,
NY-1,R+9.96,1.02,,,
NY-10,D+53.71,0.93,,,
NY-11,R+7.02,1.12,,,
NY-12,D+62.75,1,,,
NY-13,D+85.36,0.77,,,
NY-14,D+57.21,0.73,,,
NY-15,D+87.88,0.77,,,
NY-16,D+49.02,0.88,,,
NY-17,D+16.63,0.83,,,
NY-18,R+1.75,1.08,,,
NY-19,R+4.39,1.01,,,
NY-2,R+6.52,1.01,,,
NY-20,D+13.87,1.06,,,
NY-21,R+9.16,1.21,,,
NY-22,R+12.4,1.09,,,
NY-23,R+12.2,1.08,,,
NY-24,D+5.78,0.9,,,
NY-25,D+15.46,1.04,,,
NY-26,D+20.98,1.04,,,
NY-27,R+22.43,1.1,,,
NY-3,D+3.01,0.95,,,
NY-4,D+8.97,1.04,,,
